Title ,Period ,Creator ,Work Type,Repository,Url,Measurements,Provenance,Miscellenous,Latitude ,Longitude
Lid,late 4th century B.C.,Chinese,Bronzes,"Seattle Art Museum, Eugene Fuller Memorial Collection",https://library.artstor.org/asset/ASEATTLEIG_10312600501 ,Diam.: 4 3/8 in. Overall h.: 5/8 in.,,Bronze with silver inlay,47.63003,-122.31469
Vessel support: Tiger,5th century B.C.,Chinese,Bronzes,"Seattle Art Museum, Eugene Fuller Memorial Collection",https://library.artstor.org/asset/AWSS35953_35953_41316052 ,3 x 6 7/8 x 1 3/4 in. (7.6 x 17.5 x 4.4 cm),,,47.63003,-122.31469
Wine Vessel (Hu),early 400s BCE. ,,Utilitarian Objects,The Cleveland Museum of Art,https://library.artstor.org/asset/24585478 ,Diameter: 24.1 cm (9 1/2 in.); Diameter of mouth: 10.1 cm (4 in.); Overall: 27.6 cm (10 7/8 in.),"description: Acquired in China for Yamanaka & Company;  date: before 1929, description: (Yamanaka & Company, New York, NY, sold to the Cleveland Museum of Art);  date: by 1929, description: The Cleveland Museum of Art, Cleveland, OH;  date: 1929–, Purchase from the J. H. Wade Fund",bronze with gold inlay,41.505331312,-81.606997572
Shallow Basin Supported by a Bird (Bian),early 400s BC,"China, Shanxi province",Metalwork,The Cleveland Museum of Art,https://library.artstor.org/asset/24619872 ,Overall: 23.3 cm (9 3/16 in.); Diameter of base: 18.3 cm (7 3/16 in.),"description: (Robert H. Ellsworth, Ltd., New York, NY, sold to the Cleveland Museum of Art);  footnotes: None; date: ?-1991, description: The Cleveland Museum of Art, Cleveland, OH, 1991-present;  footnotes: None; date: 1991-, Leonard C. Hanna, Jr. Fund",bronze inlaid with powdered malachite and azurite in unidentified binder.,41.505331312,-81.606997572
Belt Hook (Daigou) in the Form of a Buffalo or Elephant Head,481–400 BC,,"Decorative Arts and Utilitarian Objects, Metalwork",The Cleveland Museum of Art,https://library.artstor.org/asset/24611423 ,Overall: 3.8 cm (1 1/2 in.),"description: Robert Griffing, sold to the Cleveland Museum of Art;  footnotes: None; date: ?–1965, description: The Cleveland Museum of Art, Cleveland, OH;  footnotes: None; date: 1965–, Cornelia Blakemore Warner Fund. ",bronze with silver inlay,41.505331312,-81.606997572
Mirror with Five Blossoms and Overlapping Lozenges / 五花折疊式菱紋鏡,300s BC,,"Decorative Arts and Utilitarian Objects, Metalwork",The Cleveland Museum of Art,https://library.artstor.org/asset/24620652 ,Diameter: 11.4 cm (4 1/2 in.); Overall: 0.4 cm (3/16 in.); Rim: 0.4 cm (3/16 in.),"description: Thomas and Martha Carter, Madison, WI;  date: None, Gift of Drs. Thomas and Martha Carter in Honor of Sherman E. Lee",,41.505331312,-81.606997572
Mirror with Quatrefoil and Feather Pattern / 四葉羽紋鏡,300s BC,,"Decorative Arts and Utilitarian Objects, Metalwork",The Cleveland Museum of Art,https://library.artstor.org/asset/24620641 ,Diameter: 11.2 cm (4 7/16 in.); Overall: 0.6 cm (1/4 in.); Rim: 0.4 cm (3/16 in.),"description: Thomas and Martha Carter, Madison, WI; (Daibutsu, San Francisco, 1991);  footnotes: None; date: None, Gift of Drs. Thomas and Martha Carter in Honor of Sherman E. Lee",,41.505331312,-81.606997572
Mirror with Four T's / 四山鏡,300s BC,,Metalwork,The Cleveland Museum of Art, https://library.artstor.org/asset/24620656 ,Diameter: 10.4 cm (4 1/8 in.); Rim: 0.5 cm (3/16 in.),"description: Thomas and Martha Carter, Madison, WI;  footnotes: None; date: None, Gift of Drs. Thomas and Martha Carter in Honor of Sherman E. Lee",,41.505331312,-81.606997572
Mirror with Jade Disk Inset,late Warring States (475-221 BC) to early Western Han (206 BC-8 AD),,"Decorative Arts and Utilitarian Objects, Metalwork","The Cleveland Museum of Art, Cleveland",https://library.artstor.org/asset/AMICO_CL_103803233 ,Diameter: 15.3cm,"Gift of various donors to the department of Chinese art (by exchange), 2002.5",,41.505331312,-81.606997572
Mirror with Serpentine Interlaces and Angular Meanders,early 5th-late 3rd century BC,,"Decorative Arts and Utilitarian Objects, Metalwork","The Cleveland Museum of Art, Cleveland",https://library.artstor.org/asset/24620643 ,Diameter: 11.7 cm (4 5/8 in.); Overall: 0.6 cm (1/4 in.); Rim: 0.5 cm (3/16 in.),"description: Thomas and Martha Carter, Madison, WI;  footnotes: None; date: None, Gift of Drs. Thomas and Martha Carter in Honor of Sherman E. Lee",,41.505331312,-81.606997572
Mirror with an Inscription and Bosses,5th-3rd Century BC,,"Decorative Arts and Utilitarian Objects, Metalwork","The Cleveland Museum of Art, Cleveland",https://library.artstor.org/asset/AMICO_CL_103804149 ,Diameter: 8.4cm,"Gift of Drs. Thomas and Martha Carter in Honor of Sherman E. Lee, Thomas and Martha Carter, Madison, WI; (purchased in Hong Kong, 1991)","Inscribed with the rhyming couplet Jian ri zhi guang, chang le mo yang” Translated by Karlgren: ""When you see the light of the sun, may you have constant joy without end.""",41.505331312,-81.606997572
Mirror with Shan and Feather Pattern,5th-3rd Century BC,,"Decorative Arts and Utilitarian Objects, Metalwork","The Cleveland Museum of Art, Cleveland",https://library.artstor.org/asset/AMICO_CL_103804231,Diameter: 10.5cm,,Mirror with Four T's,41.505331312,-81.606997572
Mirror with Three Dragons Pattern,5th-3rd Century BC,,"Decorative Arts and Utilitarian Objects, Metalwork","The Cleveland Museum of Art, Cleveland",https://library.artstor.org/asset/AMICO_CL_103804229 ,Diameter: 17cm,"description: Thomas and Martha Carter, Madison, WI;  date: None, Gift of Drs. Thomas and Martha Carter in Honor of Sherman E. Lee",,41.505331312,-81.606997572
Double-tier Mirror / 透雕紋鏡,300s BC,,"Decorative Arts and Utilitarian Objects, Metalwork","The Cleveland Museum of Art, Cleveland", https://library.artstor.org/asset/24621428 ,Diameter: 7.6 cm (3 in.); Overall: 0.8 cm (5/16 in.); Rim: 0.5 cm (3/16 in.),"description: Drs. Thomas and Martha Carter, Madison, WI, given to the Cleveland Museum of Art;  date: ?-1999, description: The Cleveland Museum of Art, Cleveland, OH, -present;  date: 1999-, Gift of Drs. Thomas and Martha Carter in Honor of Sherman E. Lee",,41.505331312,-81.606997572
Mirror with Quatrefoil and Continuous Arc Pattern,300-100 BC,,"Decorative Arts and Utilitarian Objects, Metalwork","The Cleveland Museum of Art, Cleveland",https://library.artstor.org/asset/AMICO_CL_103804228 ,Diameter: 14cm,"Gift of Drs. Thomas and Martha Carter in Honor of Sherman E. Lee, Thomas and Martha Carter, Madison, WI; (Kooh Ku Kok, Hong Kong, 1993)",,41.505331312,-81.606997572
Mirror with Three Dragons on a Patterned Ground,300-100 BC,,"Decorative Arts and Utilitarian Objects, Metalwork","The Cleveland Museum of Art, Cleveland",https://library.artstor.org/asset/AMICO_CL_103804230 ,Diameter: 15.9cm,"Gift of Drs. Thomas and Martha Carter in Honor of Sherman E. Lee, Thomas and Martha Carter, Madison, WI; (Ming Gallery, Hong Kong, 1994)",,41.505331312,-81.606997572
Mirror with 'Shan' (Mountain) Pattern,200s BC,"probably State of Chu, possibly Hunan province","Decorative Arts and Utilitarian Objects, Metalwork","The Cleveland Museum of Art, Cleveland",https://library.artstor.org/asset/24613190 ,Diameter: 18 cm (7 1/16 in.),"description: (William H. Wolff [c. 1906-1991], New York, NY, sold to the Cleveland Museum of Art);  footnotes: None; date: ?-1972, description: The Cleveland Museum of Art, Cleveland, OH, 1972-present;  footnotes: None; date: 1972-, Edward L. Whittemore Fund",,41.505331312,-81.606997572
Mirror with Serpentine Interlaces and Angular Meanders / 蟠螭菱紋鏡.,200s BC,,"Decorative Arts and Utilitarian Objects, Metalwork","The Cleveland Museum of Art, Cleveland",https://library.artstor.org/asset/24620646 ,Diameter: 17 cm (6 11/16 in.); Overall: 0.9 cm (3/8 in.); Rim: 0.7 cm (1/4 in.),"description: Thomas and Martha Carter, Madison, WI;  footnotes: None; date: None, Gift of Drs. Thomas and Martha Carter in Honor of Sherman E. Lee",,41.505331312,-81.606997572
Belt Hook,Warring States Period (475 B.C.E.-221 B.C.E.),,metalwork,"UBC Museum of Anthropology, The Victor Shaw Collection of Chinese Arts",https://library.artstor.org/asset/AWSS35953_35953_32910232,18.2 x 2.3 x 2.7 cm,,,49.269366,-123.259596
